[ 2025-08-02 22:31:06,341 ] 15 root - INFO - Initiate the data ingestion
[ 2025-08-02 22:31:07,852 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-08-02 22:31:07,852 ] 63 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-02 22:31:07,852 ] 66 root - INFO - Exporting train and test file path.
[ 2025-08-02 22:31:07,899 ] 69 root - INFO - Exported train and test file path.
[ 2025-08-02 22:31:07,900 ] 17 root - INFO - Data Initiation Completed
[ 2025-08-02 22:31:07,906 ] 21 root - INFO - Initiate the data validation
[ 2025-08-02 22:31:07,935 ] 32 root - INFO - Required number of columns:2
[ 2025-08-02 22:31:07,935 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-02 22:31:07,935 ] 32 root - INFO - Required number of columns:2
[ 2025-08-02 22:31:07,935 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-02 22:31:08,061 ] 23 root - INFO - data validation completed
[ 2025-08-02 22:31:08,061 ] 26 root - INFO - data Transformation started
[ 2025-08-02 22:31:08,062 ] 54 root - INFO - Entered initiate data transformation
[ 2025-08-02 22:31:08,062 ] 56 root - INFO - Starting data transformation
[ 2025-08-02 22:31:08,083 ] 44 root - INFO - Entered get data transformer object method
[ 2025-08-02 22:31:08,083 ] 47 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-02 22:31:08,096 ] 42 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-02 22:31:08,100 ] 46 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-02 22:31:08,100 ] 42 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-02 22:31:08,102 ] 46 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-02 22:31:08,103 ] 30 root - INFO - data transformation completed
